,Public Use Area,Community,"Community 
Number",Total Population,Year
132,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Douglas,35.0,180854.0,2013.0
133,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Douglas,35.0,181813.0,2014.0
134,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Douglas,35.0,184128.0,2015.0
137,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Grand Boulevard,38.0,179284.0,2012.0
138,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Grand Boulevard,38.0,180854.0,2013.0
139,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Grand Boulevard,38.0,181813.0,2014.0
140,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Grand Boulevard,38.0,184128.0,2015.0
143,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Hyde Park,41.0,179284.0,2012.0
144,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Hyde Park,41.0,180854.0,2013.0
145,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Hyde Park,41.0,181813.0,2014.0
146,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Hyde Park,41.0,184128.0,2015.0
147,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Woodlawn,42.0,179284.0,2012.0
148,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Woodlawn,42.0,180854.0,2013.0
149,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Woodlawn,42.0,181813.0,2014.0
150,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",Woodlawn,42.0,184128.0,2015.0
151,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",South Shore,43.0,179284.0,2012.0
152,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",South Shore,43.0,180854.0,2013.0
153,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",South Shore,43.0,181813.0,2014.0
154,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",South Shore,43.0,184128.0,2015.0
155,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Chatham,44.0,141288.0,2012.0
156,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Chatham,44.0,138115.0,2013.0
157,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Chatham,44.0,136087.0,2014.0
158,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Chatham,44.0,132120.0,2015.0
159,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Avalon Park,45.0,141288.0,2012.0
160,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Avalon Park,45.0,138115.0,2013.0
161,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Avalon Park,45.0,136087.0,2014.0
162,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Avalon Park,45.0,132120.0,2015.0
163,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",South Chicago,46.0,138811.0,2012.0
164,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",South Chicago,46.0,135733.0,2013.0
165,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",South Chicago,46.0,132887.0,2014.0
166,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",South Chicago,46.0,131432.0,2015.0
167,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Burnside,47.0,141288.0,2012.0
168,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Burnside,47.0,138115.0,2013.0
169,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Burnside,47.0,136087.0,2014.0
170,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Burnside,47.0,132120.0,2015.0
172,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Roseland,49.0,141288.0,2012.0
173,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Roseland,49.0,138115.0,2013.0
174,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Roseland,49.0,136087.0,2014.0
175,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",Roseland,49.0,132120.0,2015.0
176,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",Pullman,50.0,138811.0,2012.0
177,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",Pullman,50.0,135733.0,2013.0
178,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",Pullman,50.0,132887.0,2014.0
179,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",Pullman,50.0,131432.0,2015.0
180,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",South Deering,51.0,138811.0,2012.0
181,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",South Deering,51.0,135733.0,2013.0
182,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",South Deering,51.0,132887.0,2014.0
183,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",South Deering,51.0,131432.0,2015.0
184,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",East Side,52.0,138811.0,2012.0
185,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",East Side,52.0,135733.0,2013.0
186,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",East Side,52.0,132887.0,2014.0
187,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",East Side,52.0,131432.0,2015.0
188,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",West Pullman,53.0,138811.0,2012.0
189,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",West Pullman,53.0,135733.0,2013.0
190,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",West Pullman,53.0,132887.0,2014.0
191,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",West Pullman,53.0,131432.0,2015.0
194,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",Garfield Ridge,56.0,148078.0,2012.0
195,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",Garfield Ridge,56.0,150404.0,2013.0
196,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",Garfield Ridge,56.0,152218.0,2014.0
197,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",Garfield Ridge,56.0,153737.0,2015.0
199,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",Brighton Park,58.0,162263.0,2012.0
200,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",Brighton Park,58.0,162754.0,2013.0
201,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",Brighton Park,58.0,161964.0,2014.0
202,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",Brighton Park,58.0,162860.0,2015.0
203,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",McKinley Park,59.0,162263.0,2012.0
204,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",McKinley Park,59.0,162754.0,2013.0
205,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",McKinley Park,59.0,161964.0,2014.0
206,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",McKinley Park,59.0,162860.0,2015.0
207,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",Bridgeport,60.0,162263.0,2012.0
208,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",Bridgeport,60.0,162754.0,2013.0
209,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",Bridgeport,60.0,161964.0,2014.0
210,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",Bridgeport,60.0,162860.0,2015.0
211,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",New City,61.0,162263.0,2012.0
212,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",New City,61.0,162754.0,2013.0
